ticker,signal_date,system,pattern_family,A_sobreventa_estructural,B_rebote_suave,D_pullback_controlado,E_microcorreccion_compresion,rsi14,atr14,dist_ema20_atr,dist_bb_lo_atr,body_atr_ratio,wick_low_atr_ratio,bb_width,dist_ema20_pct,dist_ema50_pct,roc10,vol_zscore10,trend_regime,market_bucket,is_trend_up,is_trend_down,is_trend_range,is_supersignal_v40,supersignal_tipo_v40,is_e_prime_v40,is_change_candidate,quality_tier,quality_note,signal_score,signal_score_reasons,setup_code,setup_note,holding_horizon_days,trade_style,entry_price,stop_price,target_price,signal_status
FAST,2026-04-24,v40,B,False,True,False,False,44.73344059956835,1.1612849654799302,-0.811271552066227,1.259982606677212,-0.4133348458859651,0.05166480267739228,4.680505270385112,-2.0645929604087065,-1.6403945801546027,-9.111246103453796,-1.1111300936796797,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
GEHC,2026-04-24,v40,B_D,False,True,True,False,37.25741757010827,2.0194312834307815,-1.6718408614967173,0.4025910967827483,-0.32187355480332486,0.1535111348090132,3.8387085012283784,-4.675733052782771,-7.229968877457971,-5.944244952146349,0.8054646519612648,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
GILD,2026-04-24,v40,A_B,True,True,False,False,30.58996766770848,3.1725973700295724,-2.14537860287804,-0.292413153912621,-0.3593268406566861,0.3520740281429962,3.987455877757129,-4.960717356602973,-6.098372514998651,-6.180308840337567,0.5010364953473869,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
GLINT.LS,2026-04-24,v40,B_D,False,True,True,False,38.856552230246834,0.039981740922929575,-1.1719469997677912,0.6097944966478772,-0.25011393282081495,0.25011691441408224,3.820774490950888,-3.7883521540346465,-7.08445781751883,-3.6437211792240687,-0.18681763010264332,DOWN,EU,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
HON,2026-04-24,v40,A_B,True,True,False,False,31.628299986189134,5.775094455966751,-2.276004942536062,-0.25291030821035504,0.06233674844567141,0.5142775141339034,4.410809494548663,-5.807919658483174,-6.3510182209333905,-9.304797371468364,0.23188017842316724,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
IBM,2026-04-24,v40,B_D,False,True,True,False,38.954529145588765,8.679288239377232,-1.410617139036517,0.4649417636393387,0.0057611926668046645,0.7984517260690146,3.474332992011059,-5.013100855374097,-8.029881120612181,0.5286883557569677,0.22262040722204732,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
IDXX,2026-04-24,v40,E,False,False,False,True,44.264719158878755,17.691342679349688,-0.5984620861661355,0.7591994536492892,0.5132463518691799,0.2741440078258537,2.30991684861706,-1.83647438014225,-5.191623966046876,0.5204249868172806,0.8183889096865006,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
INFY,2026-04-24,v40,B_D,False,True,True,False,36.45712814148637,0.48648807791543913,-1.720795855177434,0.28253633160316655,0.5961090826637545,0.3288874993559907,4.010173727705789,-6.111832700199793,-9.75992695383594,-3.2355177307000216,0.5345447976658312,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
IP,2026-04-24,v40,A_B,True,True,False,False,31.803978209818737,1.3800721094658448,-2.174882582672166,-0.2714567275840594,-0.5289575357905563,0.08695396838972289,3.680777018165736,-8.418986868889998,-13.13233472868659,-10.547941024989294,0.10537066562419971,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
JNJ,2026-04-24,v40,B_D,False,True,True,False,35.403962503867604,4.62127094826285,-1.5763834347891685,0.4426576130396591,-0.33107748851471397,0.10386660572661788,5.030062649229709,-3.10279542107208,-3.2398113134396556,-4.596161371000173,-1.5228535633489826,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
